register,dimension1,dimension2,dimension3,dimension4,dimension5
skill_01,-7.784207176,6.403144974,-5.582565638,-4.07965418,-0.762454374
skill_02,{4.034221638},13.37830868,2.865441453,-0.887440971,-0.129259647
skill_03,-10.79681907,3.837264388,7.724362187,-1.800558043,-0.062046066
skill_04,-13.96838225,-14.50399174,7.411930785,-6.891611054,0.524648263
skill_05,-11.91364938,-13.33176503,3.163092574,-6.137349126,-2.316571414
skill_06,{12.51448964},12.19049049,-1.536448456,-3.583534773,-0.260887826
skill_07,-10.1499143,2.604485314,8.140928733,-5.878051094,-1.10948265
skill_08,-12.43346052,6.087808905,4.010871658,-5.145320809,-0.636545348
skill_09,-10.35479195,-2.942590427,1.418769316,-5.344568331,-1.525274952
skill_10,-9.056981648,-0.343854552,4.918824079,-3.448491582,-0.678028928
skill_11,-9.727911507,-7.79117444,4.776947752,-6.061640462,-0.524519093
skill_12,-9.614315028,7.740714806,8.267038417,-3.404671775,-1.504460692
skill_13,-12.58536018,-14.63640545,5.690474502,-6.285302569,0.015186685
skill_14,-5.471476124,-0.445062225,5.748773364,-5.469278256,0.493287637
skill_15,-9.074881295,-5.922591006,8.709759142,-7.220221067,2.872305357
skill_16,{1.982487135},-6.872533918,-0.401963617,-5.530908432,-1.816198732
skill_17,{9.936675647},8.172845547,6.382818528,-3.888900449,-1.746276209
skill_18,-11.38219507,-3.520716204,4.715750173,-6.727452007,-0.926874868
skill_19,-12.57567804,-15.66075824,12.89558251,-7.671793825,1.946967978
skill_20,-9.979976995,-4.173976798,18.4824603,-4.729227481,1.399615176
skill_21,-11.98148569,-4.952357385,3.879597767,-6.168258362,3.942613416
skill_22,-11.5118638,-1.073237924,11.66851218,-4.818067107,-0.062614724
skill_23,-8.483364368,0.235954688,8.879500962,-5.031876438,0.733379156
skill_24,-12.38346057,-8.763864577,16.55830115,-6.514088409,2.839666683
skill_25,-12.25949997,-6.955030176,9.774654444,-6.940013352,0.998787984
skill_26,-6.927933977,3.033164311,9.809893014,-5.072119861,2.278415473
skill_27,-12.2196147,-6.097598818,3.669702282,-6.314717679,3.273943919
skill_28,-13.11643586,-6.491551831,0.040160112,-6.431624374,0.975579987
skill_29,-9.996097802,-9.649065261,2.653366906,-5.889616054,-2.177340611
skill_30,-9.789359414,-7.435748578,-0.423008811,-6.418602974,-1.507132869
skill_31,-10.57257084,-2.693445107,3.569704338,-6.274879993,-1.739471048
skill_32,-9.683894418,-7.753859105,7.323936482,-5.306591339,3.315848236
skill_33,-6.626970692,-4.35308939,7.763409269,-3.934251154,-0.714065263
skill_34,-5.908317581,8.506569116,0.019662513,-3.89109122,-1.384086123
skill_35,-9.028249406,-1.368268961,3.278811378,-3.890065053,0.621755575
skill_36,{2.040478129},11.55752246,0.846034459,-1.675727118,-1.048245084
